Text,Topic
How do I invest in the stock market Please explain.,Finance
What are the symptoms of COVID-19 Please explain.,Health
How to prepare for a job interview Please explain.,Career
Renewable energy is the future. Please explain.,Energy
Python is a great programming language. What should I know?,Programming
How do I invest in the stock market Guide me.,Finance
How do I invest in the stock market Can you help?,Finance
How do I invest in the stock market,Finance
How to bake a chocolate cake Can you help?,Cooking
Renewable energy is the future. I need details.,Energy
How to bake a chocolate cake Any advice?,Cooking
What is the capital of France Guide me.,Geography
What are the symptoms of COVID-19 Please explain.,Health
How to bake a chocolate cake What should I know?,Cooking
What is the capital of France What's important?,Geography
What are the symptoms of COVID-19,Health
What are the symptoms of COVID-19 Any advice?,Health
How to prepare for a job interview Please explain.,Career
Python is a great programming language. What should I know?,Programming
What are the symptoms of COVID-19 Guide me.,Health
Tips to stay mentally healthy. What should I know?,Mental Health
Renewable energy is the future. What's important?,Energy
Tips to stay mentally healthy. Can you help?,Mental Health
The government announced a new education policy. What's important?,Education
Python is a great programming language.,Programming
What are the effects of global warming Any advice?,Environment
How to prepare for a job interview Any advice?,Career
How do I invest in the stock market Please explain.,Finance
What is the capital of France Any advice?,Geography
Python is a great programming language. I need details.,Programming
Renewable energy is the future. Can you help?,Energy
What are the effects of global warming Guide me.,Environment
The government announced a new education policy.,Education
Renewable energy is the future. What should I know?,Energy
How do I invest in the stock market Any advice?,Finance
Tips to stay mentally healthy. Can you help?,Mental Health
How to prepare for a job interview Please explain.,Career
How do I invest in the stock market Please explain.,Finance
How to bake a chocolate cake What's important?,Cooking
How to prepare for a job interview Can you help?,Career
What is the capital of France Can you help?,Geography
The government announced a new education policy. Guide me.,Education
Tips to stay mentally healthy. Can you help?,Mental Health
What is the capital of France Can you help?,Geography
How do I invest in the stock market Any advice?,Finance
Tips to stay mentally healthy. Please explain.,Mental Health
What are the effects of global warming Guide me.,Environment
Python is a great programming language. Guide me.,Programming
How do I invest in the stock market What's important?,Finance
How to bake a chocolate cake What should I know?,Cooking
How to bake a chocolate cake,Cooking
What are the effects of global warming Any advice?,Environment
What are the effects of global warming Any advice?,Environment
